,datetime,Open,High,Low,Close,Volume
0,1519236900000,10585.5,10645.0,10581.5,10632.0,16591815
1,1519237200000,10632.0,10637.0,10600.5,10617.0,9395176
2,1519237500000,10617.0,10635.0,10612.5,10631.0,6183325
3,1519237800000,10631.0,10635.0,10601.5,10613.0,5316231
4,1519238100000,10613.0,10613.5,10581.0,10598.0,8389699
5,1519238400000,10598.0,10634.5,10597.5,10608.0,6385291
6,1519238700000,10608.0,10617.0,10583.5,10597.5,6167482
7,1519239000000,10597.5,10604.5,10581.0,10585.0,3594451
8,1519239300000,10585.0,10585.5,10530.0,10542.0,11492901
9,1519239600000,10542.0,10547.0,10460.0,10509.5,9498173
10,1519239900000,10509.5,10558.5,10494.5,10541.0,7414589
11,1519240200000,10541.0,10573.0,10541.5,10547.5,5551545
12,1519240500000,10547.5,10554.5,10500.0,10500.0,4275244
13,1519240800000,10500.0,10520.0,10455.5,10513.0,8698027
14,1519241100000,10513.0,10516.0,10480.0,10480.0,5200452
15,1519241400000,10480.0,10530.0,10480.0,10488.5,6190809
16,1519241700000,10488.5,10488.5,10407.0,10437.0,11525896
17,1519242000000,10437.0,10450.0,10400.5,10404.5,7432571
18,1519242300000,10404.5,10437.5,10395.0,10425.5,8714112
19,1519242600000,10425.5,10456.5,10426.0,10456.5,6324279
20,1519242900000,10456.5,10466.0,10408.5,10425.5,8687761
21,1519243200000,10425.5,10467.0,10425.0,10467.0,4928685
22,1519243500000,10467.0,10486.0,10450.0,10460.0,4876795
23,1519243800000,10460.0,10462.0,10300.0,10305.0,19581392
24,1519244100000,10305.0,10374.0,10300.5,10374.0,12650561
25,1519244400000,10374.0,10374.0,10300.0,10307.5,10176972
26,1519244700000,10307.5,10346.0,10251.0,10312.5,24002377
27,1519245000000,10312.5,10365.0,10310.0,10324.0,10190166
28,1519245300000,10324.0,10337.5,10263.0,10263.5,9998723
29,1519245600000,10263.5,10315.5,10261.0,10271.5,10703286
30,1519245900000,10271.5,10365.0,10271.5,10355.5,13756466
31,1519246200000,10355.5,10356.5,10315.0,10336.0,8683541
32,1519246500000,10336.0,10420.0,10335.5,10405.0,11480242
33,1519246800000,10405.0,10418.0,10367.5,10410.5,9063859
34,1519247100000,10410.5,10411.0,10382.0,10385.0,7485907
35,1519247400000,10385.0,10417.0,10333.0,10405.0,13024733
36,1519247700000,10405.0,10446.0,10383.0,10410.0,9553314
37,1519248000000,10410.0,10450.0,10400.0,10412.5,9346717
38,1519248300000,10412.5,10414.5,10369.0,10394.0,6378034
